Country,Localite,Category,Value,Date,Sources
Guinea,National,Cases,233,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,129,05/2014,Ministere de la Sante
Guinea,National,Deaths,157,05/2014,Ministere de la Sante
Guinea,Conakry,Cases,50,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,163,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,119,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,8,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,6,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,17,05/2014,Ministere de la Sante
Guinea,National,Cases,248,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,138,05/2014,Ministere de la Sante
Guinea,National,Deaths,171,05/2014,Ministere de la Sante
Guinea,Conakry,Cases,50,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,25,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,170,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,121,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,8,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,6,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,17,05/2014,Ministere de la Sante
Guinea,National,Cases,258,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,146,05/2014,Ministere de la Sante
Guinea,National,Deaths,174,05/2014,Ministere de la Sante
Guinea,Telimele,Cases,3,05/2014,Ministere de la Sante
Guinea,Telimele,Deaths,0,05/2014,Ministere de la Sante
Sierra Leone,Kailahun,Confirmed cases,1,05/2014,WHO
Sierra Leone,Kailahun,Deaths,5,05/2014,WHO
Sierra Leone,Kailahun,Cases,16,05/2014,WHO
Sierra Leone,Kailahun,Confirmed cases,7,05/2014,WHO
Sierra Leone,Kailahun,Deaths,5,05/2014,WHO
Sierra Leone,National,Confirmed cases,7,05/2014,Gvt
Sierra Leone,National,Deaths,5,05/2014,Gvt
Sierra Leone,National,Suspected cases,22,05/2014,Gvt
Guinea,Boffa,Cases,4,05/2014,Ministere de la Sante
Guinea,Boffa,Deaths,0,05/2014,Ministere de la Sante
Guinea,Conakry,Cases,53,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,27,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,179,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,133,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,7,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,40,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,23,05/2014,Ministere de la Sante
Guinea,National,Cases,291,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,172,05/2014,Ministere de la Sante
Guinea,National,Deaths,193,05/2014,Ministere de la Sante
Sierra Leone,Bo,Cases,1,05/2014,WHO
Sierra Leone,Bo,Deaths,0,05/2014,WHO
Sierra Leone,Kailahun,Cases,37,05/2014,WHO
Sierra Leone,Kailahun,Deaths,6,05/2014,WHO
Sierra Leone,Kenema,Cases,1,05/2014,WHO
Sierra Leone,Kenema,Deaths,0,05/2014,WHO
Sierra Leone,Koinadugu,Cases,1,05/2014,WHO
Sierra Leone,Koinadugu,Deaths,0,05/2014,WHO
Sierra Leone,Moyamba,Cases,1,05/2014,WHO
Sierra Leone,Moyamba,Deaths,0,05/2014,WHO
Sierra Leone,National,Cases,50,05/2014,WHO
Sierra Leone,National,Confirmed cases,14,05/2014,WHO
Sierra Leone,National,Deaths,6,05/2014,WHO
Guinea,Boffa,Cases,4,06/2014,WHO
Guinea,Boffa,Deaths,2,06/2014,WHO
Guinea,Conakry,Cases,56,06/2014,WHO
Guinea,Conakry,Deaths,27,06/2014,WHO
Guinea,Dabola ,Cases,4,06/2014,WHO
Guinea,Dabola ,Deaths,4,06/2014,WHO
Guinea,Dinguiraye ,Cases,1,06/2014,WHO
